GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",4922832,4979332,5058616,5174625,5295114,5724189,5898491,5973018,5821603,6010804,6061340,6222396,6253651,6335952,6215814,6113607,6271260,6572814,6802738,7037339
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",79.115,80.023,81.297,83.161,85.098,91.993,94.795,95.992,93.559,96.600,97.412,100.000,100.502,101.825,99.894,98.252,100.785,105.632,109.327,113.097
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",3690450,3805509,3997893,4229906,4502185,5035727,5368287,5616001,5482542,5773779,5954478,6222396,6398066,6610626,6538116,6505407,6786084,7276717,7702741,8132377
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",28478470,29606054,30443223,31100063,31921117,31636803,32168886,31729365,29800947,30541931,30657593,30947890,31395241,32017695,32174517,32246910,32639493,33276924,33714017,31886412
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",92.021,95.664,98.369,100.492,103.145,102.226,103.945,102.525,96.294,98.688,99.062,100.000,101.445,103.457,103.964,104.197,105.466,107.526,108.938,103.033
 "10420","Akron, OH (Metropolitan Statistical Area)", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",22416747,23693445,24755083,25972705,27424998,28039409,29348477,29494311,28449041,29350515,29926115,30947890,32075978,33246962,34206216,34783337,35635717,37070620,38419839,37059832
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",5500407,5563164,5592672,5616384,5731306,5579562,5425194,5325589,5239598,5079304,5183359,5239023,5216222,5108418,5072873,5138393,5114139,5094218,5236579,5106105
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",104.989,106.187,106.750,107.203,109.396,106.500,103.554,101.652,100.011,96.951,98.937,100.000,99.565,97.507,96.829,98.079,97.616,97.236,99.953,97.463
 "10500","Albany, GA (Metropolitan Statistical Area)", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",4256874,4393812,4496447,4620497,4823816,4846320,4875114,4891620,4931969,4858699,5054553,5239023,5341391,5339013,5425446,5586568,5645191,5738808,6039200,6018211
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",3403158,3607466,3462933,3711971,3818544,4059596,3780852,3728555,3646450,3598066,3629679,3669759,3723626,3808198,3978791,4202318,4178035,4442516,4510279,4415386
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",92.735,98.303,94.364,101.150,104.054,110.623,103.027,101.602,99.365,98.046,98.908,100.000,101.468,103.772,108.421,114.512,113.850,121.057,122.904,120.318
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",2685204,2879185,2819381,3176814,3323374,3658318,3541172,3554909,3472569,3489791,3574291,3669759,3800026,3982985,4198414,4455298,4544447,4974680,5108617,5022852
 "10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",43695244,44491261,45807029,46952037,46941038,47303987,47364703,48189819,49013101,49358060,49585384,49695704,50248681,50850971,52150163,53454970,54627257,54926815,57338087,55357663
 "10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",87.926,89.527,92.175,94.479,94.457,95.187,95.309,96.970,98.626,99.321,99.778,100.000,101.113,102.325,104.939,107.565,109.924,110.526,115.378,111.393
 "10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",33691972,35045463,36890147,38922688,40117516,41805835,43148261,44764132,46707516,47549842,48498446,49695704,51504127,53358933,56052712,58343468,60575102,62395895,66573271,65751078
 "10740","Albuquerque, NM (Metropolitan Statistical Area)", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",30106354,30593343,33335598,38033028,37980833,38543511,38162676,38026671,38940946,38201629,37723277,37344986,36486538,37116490,37462382,37989148,37928511,38731029,39854122,38733912
 "10740","Albuquerque, NM (Metropolitan Statistical Area)", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",80.617,81.921,89.264,101.842,101.703,103.209,102.190,101.825,104.274,102.294,101.013,100.000,97.701,99.388,100.314,101.725,101.563,103.711,106.719,103.719
 "10740","Albuquerque, NM (Metropolitan Statistical Area)", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",26236210,27050676,29663337,34086280,34452343,35485566,35777971,36037596,37599579,37070453,37026897,37344986,37178685,38505467,39669270,40800578,41311756,43087650,45332260,45055535
